Mass(kg),Radius(m),X_Position(m),Y_Position(m),Z_Position(m),X_Velocity(m/s),Y_Velocity(m/s),Z_Velocity(m/s)
1.989e30,6.957e8,0e1,0e1,0e1,0e1,0e1,0e1
0.330e24,2439.5e3,4.094e10,4.094e10,0e1,33516.86e3,33516.86e3,0e1
4.87e24,6052e3,7.651e10,7.651e10,0e1,24748.73,24748.73,0e1
5.97e24,6378e3,1.057e11,1.057e11,0e1,21071.78,21071.78,0e1
0.642e24,3396e3,1.612e11,1.612e11,0e1,17041.27,17041.27,0e1
1898e24,714492e3,5.504e11,5.504e11,0e1,9263.09,9263.09,0e1
568e24,60268e3,1.012e12,1.012e12,0e1,6858.93,6858.93,0e1
86.8e24,25559e3,2.027e12,2.027e12,0e1,4808.32,4808.32,0e1
102e24,24764e3,3.192e12,3.192e12,0e1,3818.37,3818.37,0e1
0.130e24,1188e3,4.176e12,4.176e12,0e1,3323.40,3323.40,0e1
